project_name,baseline_adhoc_buggy_ratio,baseline_bug_buggy_ratio,adhoc_buggy_ratio,bug_buggy_ratio
ant-ivy,0.29911061220965374,0.048268716000345394,0.4580265095729013,0.10284732449680903
archiva,0.12247374367128332,0.03464580107954308,0.2307549619736598,0.11726565394590589
calcite,0.29809759461323165,0.04526832434186509,0.4576214405360134,0.09003108348134992
cayenne,0.09537236689334881,0.03175129730113973,0.23382770590091512,0.09627916754256885
commons-bcel,0.10154952960708356,0.010237963475373547,0.21958637469586376,0.032846715328467155
commons-beanutils,0.1023109243697479,0.00819327731092437,0.2846251588310038,0.04955527318932656
commons-codec,0.14549863595028797,0.017581085177326462,0.3371647509578544,0.09195402298850575
commons-collections,0.07259557782376648,0.004302363576952402,0.17020355132091813,0.02338674750974448
commons-compress,0.07540787902904894,0.0411858336649423,0.1538978494623656,0.11208053691275167
commons-configuration,0.12223648552274996,0.023106546854942234,0.1878538342768914,0.07514153371075656
commons-dbcp,0.22954611159294594,0.0265972824515756,0.44759825327510916,0.09051254089422028
commons-digester,0.06298381421534131,0.004750175932441942,0.1903435468895079,0.013927576601671309
commons-io,0.0985342019543974,0.01710097719869707,0.215311004784689,0.07398568019093078
commons-jcs,0.20018340210912425,0.025951398441082074,0.38934092758340116,0.08976441917140536
commons-jexl,0.20923775870772338,0.059818273599192326,0.41015625,0.18172983479105928
commons-lang,0.10081926099314496,0.01738839658919913,0.23681489141675285,0.07911065149948293
commons-math,0.09509268683877733,0.015514635575707104,0.24391400569079988,0.05801454315523238
commons-net,0.056433408577878104,0.024830699774266364,0.19168173598553345,0.1003616636528029
commons-scxml,0.3940648723257419,0.031055900621118012,0.5584725536992841,0.08830275229357798
commons-validator,0.1303056027164686,0.021222410865874362,0.38461538461538464,0.07513416815742398
commons-vfs,0.14967948717948718,0.016346153846153847,0.3868421052631579,0.05389848246991104
deltaspike,0.08869239013933548,0.03563772775991426,0.16363636363636364,0.11975028376844495
eagle,0.3286238736233174,0.033930359328067636,0.5063492063492063,0.0884920634920635
giraph,0.15276639344262294,0.03647540983606557,0.2487146529562982,0.07583547557840617
gora,0.07446153846153847,0.026153846153846153,0.1424083769633508,0.08054393305439331
jspwiki,0.1526713784411605,0.01571689813670736,0.2941279272981475,0.0398392451511445
knox,0.09690883005086735,0.05164992826398852,0.16056034482758622,0.15417789757412398
kylin,0.11090340671028459,0.03641989235182261,0.17390202702702703,0.07430783472187158
lens,0.2419023824395467,0.058356384402605516,0.34694444444444444,0.15
mahout,0.18114775577434208,0.027402388350241457,0.3190345322021747,0.06786951846098697
nutch,0.2142216527866752,0.06431774503523383,0.3138235294117647,0.12142440163455925
opennlp,0.10530896431679722,0.020365535248041775,0.29034690799396684,0.07352941176470588
parquet-mr,0.4731786427145709,0.02881736526946108,0.682409817776125,0.07606679035250463
systemml,0.24226762057615409,0.023312749925192458,0.44406614785992216,0.04086257811963464
tika,0.1816528361941571,0.06445379106513584,0.2298686464877213,0.1278238490134401
